CBRNIAC_Number	AD_Number	Site_Holding	Title	Author(s)	Report_Number	Publish_Date	Corp_Author_Name	Distribution_Statement	Document_Classification
CB-000264	324002	CB DT DW 524148	General Bomblet Area Coverages. Technical Memorandum No. 2-46, June 1961.	DeShazer, G. A.	TM-2-46 61-FDS-385	1961-06-01	ARMY BIOLOGICAL LABS FREDERICK MD	Further dissemination only as directed by Commander, US Army Dugway Proving	C
CB-000268	326852	CB DT DW 501032	Title Classified.	Glaser, E. M. Shephard, R. J.	PTP-780	1961-08-01	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution authorized to DoD and US DoD contractors; Foreign Government	S
CB-000357	264735	CB DT DW EDG E504566	Fundamental Laboratory Research Investigation for the Development of Submicron Dry BW Agents.	Werly, Emil F.		1961-10-09	MIDWEST RESEARCH INST KANSAS CITY MO	Distribution authorized to US Gov't agencies and their contractors;	U
CB-000810	323672	CB DT DW 524149	Human Factors in CBR Operations: The Effects of CBR Protection Upon the Performance of Selected	Montague, William E. Moren, Richard I.	HUMRRO-TR-71	1961-05-01	GEORGE WASHINGTON UNIV ALEXANDRIA VA HUMAN RESOURCES RESEARCH	Approved for Public Release; Distribution Unlimited.	U
CB-007354	B022083	CB DT DW 500528	C 499, Testing Agent-Simulant Penetration of Protective Shelter.		DPG-TR-311	1961-06-01	ARMY DUGWAY PROVING GROUND UTAH	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Nov 1972. Other	U
CB-007355	B022081	CB DT DW 500491	C 436, Hard Target Testing on CCB Fortification Complex, Series H, Trials 1, 2, and 3, Series I, Trials 1 and		DPG-TR-292	1961-11-01	ARMY DUGWAY PROVING GROUND UTAH	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Nov 72. Other	U
CB-010317	682588	CB DT DW 545333	Particularly Dangerous and Rarely Encountered Infectious Diseases and Their Prophylaxis.	Nesterenko, M. K.	TRANS-659	1961-09-11	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-011292	357355	CB DT DW 524431	Arms Control of CBR Weapons. II. Clandestine Aspects.			1961-02-09	OPERATIONS RESEARCH GROUP EDGEWOOD ARSENAL MD	Distribution limited to US Gov't agencies and their contractors; Specific Authority; Feb	C
CB-011293	357354	CB DT DW 35524 DW 524430	Arms Control of CBR Weapons. 1. Military Aspects, Volume 1.		ORG-S-23 61-FDS-447 ORG-S-0014-61	1961-02-09	OPERATIONS RESEARCH GROUP EDGEWOOD ARSENAL MD	Distribution limited to US Gov't agencies and their contractors. NOFORN. This document	S/NOFORN/RD
CB-011294	357353	CB DT DW 35525 DW 38525 DW 524429	Arms Control of CBR Weapons. 1. Military Aspects, Volume 2.		ORG-S-23 61-FDS-448 DTC-72-1162 ORG-S-0014-61	1961-02-09	OPERATIONS RESEARCH GROUP EDGEWOOD ARSENAL MD	Distribution limited to US Gov't agencies and their contractors. NOFORN. This document	S/NOFORN/RD
CB-011444	453785	CB DT DW 701323	Minutes of Tenth Conference Prevention of Microbiological Deterioration of Military Materiel.			1961-01-01	ARMY NATICK LABS MA	Distribution limited to US Gov't agencies only. Other requests for this document shall be	U
CB-011707	264726	CB DT DW 36249 EDG E504538	Stabilization of BW Aerosols. Technical Report No. 1, 1 July-30 September 1961.	Bechtle, Gerald F. Jackson, Leroy E.	TR-1	1961-09-30	MIDWEST RESEARCH INST KANSAS CITY MO	Distribution limited to US Gov't agencies and their contractors;	U
CB-012736	328688	CB DT DW 501417	Nonlethal BW/CW Weapon Systems. Volume 9. Weapon System and Program Studies.		MSD-251-950-9-345	1961-06-01	REPUBLIC AVIATION CORP MINEOLA NY	Distibution authorized to US Gov't agencies and contractors. Other requests for this	C
CB-012739	321598	CB DT DW 34842	Preliminary BW Warhead Study for the Pershing Missile. Technical Study No. 29, January 1961.	DeShazer, G. A.	ABL-TS-29 DTC-72-1002 60-FDS-1323	1961-01-01	ARMY BIOLOGICAL LABS FREDERICK MD	Further dissemination only as directed by Director, US Chemical Corps, Biological	C
CB-012742	328686	CB DT DW 501429	Nonlethal BW/CW Weapon Systems. Volume 7. Dispenser Studies.		MSD-251-950-7-345	1961-06-01	REPUBLIC AVIAVTION CORP MINEOLA NY	Distribution limited to US Gov't agencies and their contractors. Other requests for this	C
CB-012759	326262	CB DT DW 504717	Long Endurance Multi-Purpose Airborne Drone System AN/USD-5 (XE-2).	Ingram, J. W.		1961-09-01	FAIRCHILD STRATOS CORP HAGERSTOWN MD AIRCRAFT-MISSILES DIV	Distribution limited to US Gov't agencies and their contractors.	U
CB-012760	256578	CB DT DW 63032	A Continuous Feed Dry Fill Disseminator for Laboratory Use.	Beebe, J. M. Dorsey, E. L. Guse, D. L.	TM-9-27	1961-05-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution limited to US Gov't agencies and their contractors.	U
CB-012764	255307	CB DT DW 35280	Design and Operation of the Tornado Feeder No. 6 for Powders.	Flurie, Eugene G.		1961-04-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution limited to US Gov't agencies and their contractors.	U
CB-012765	322591	CB DT DW 34894	The Aerosolization of Liquid Fills by Explosive Means in the Flettner Rotor. Technical Memorandum No. 2-	Chertoff, Meyer	BL-TM-2-42	1961-01-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution limited to US Gov't agencies and their contractors. For Official Use Only.	U
CB-012793	326105	CB DT DW 523358	Development of Mathematical-prediction Model and Estimates of Area Coverage for Aerial-spray	Egner, Donald O. Campbell, Donald Hedman, Fritz A.	CRDLR-3079 DPG-61-2571	1961-08-01	CHEMICAL RESEARCH AND DEVELOPMENT LABS EDGEWOOD ARSENAL MD	Distribution Controlled. All requests for this document shall be referred to Army Chemical	C
CB-012868	267890	CB DT DW 510674	The Effect of Nuclear Radiation on Elastomeric and Plastic Components and Materials.	King, R. W. Broadway, N. J. Palinchak, S.	REIC-R-21	1961-09-01	RADIATION EFFECTS INFORMATION CENTER BATTELLE MEMORIAL INSTITUTE	Approved for Public Release; Distribution Unlimited.	U
CB-013349	262228	CB DT DW 62014	A Simple Mathematical Model for the Penetration of Forest Canopy by Aerosols. Technical Study No. 37,	Calder, Kenneth L.	BL-TS-37	1961-08-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution limited to US Gov't agencies and their contractors;	U
